Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
Crew 212  10 MAY 2019,SOL  5,Paolo Guardabasso,None,Nothing to report,,99at 7 40 PM,%  From Director,%  From Director,4,,143454.5,200,Water  loft       Yes,155,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,92.6h,100%,57%,Yes,Yes,59.1h,100%,74%,No,Yes,94.7h,100%,75%,Yes,no  out of order,,,,,Spirit showed an anomalous power consumption  hitting 70% charge after about 10 minutes of driving. It forced the EVA crew to come back to the Hab  where the charge was 57%,,Nothing to report,Off Campus,We received the visit from two journalists  who toured the station and interviewed the crew members. One EVA was performed this morning and the crew was accompanied by two journalists. The EVA in the afternoon postponed because of bad weather  but it was successfully carried out 30 minutes later.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report,It was depressurized to allow the EVA crew to take the drones for the experiments.,a crew member had a minor injury.,Following the issue of the heater  we were aware of the procedure in the handbook and we already tried keeping the hot water sink fully on for more than 10 seconds  but the heater still didn t activate. Both gas and water are at 100%  and the propane and water lines valves are open.
,SOL  4,Paolo Guardabasso,None,Nothing to report,,85at 7 20 PM,97%,46%,4,,143406.8,230,Water  loft       Yes,160,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,No,92.1h,,,Yes,No,58.7h,,,No,No,94.3h,,,Yes,no  out of order,,,,,Nothing to report,,Nothing to report,Off Campus,Nothing to report,Signal was down during  morning  then returned after lunch.,Some repairs were done on the suits.,A fantastic pesto sauce was prepared with the basil from the GreenHab,Nothing to report,The damaged autoclave has been successfully used for heating  the pressure functions are unavailable .  From Director   the binocular scope is damaged. I used it this evening and it will need some adjustment and,Nothing to report,It was depressurized to allow the EVA crew to take the drones for the experiments.,Nothing to report,The water heater is on  but it seems to be not functioning properly. Is there a procedure we are not doing correctly
Crew 212  08 MAY 2019,SOL  3,Paolo Guardabasso,Oven in the kitchen,The kitchen oven door doesn t fully close and it was necessary to block it with some tape to use it.,,86at 7 40PM,97%,46%,4,,1433682,270,Water  loft       Yes,170,,Yes,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,92.1h  the previous value of 92.6h was wrong  the correct one was 91.6h,100%,80%,Yes,No,58.7h,,,No,Yes,94.3h,100%,95%,Yes,no  out of order,,,,,An Engineering EVA was done to recover a payload in Spirit s trunk.,,Nothing to report,Off Campus,Today s EVA was shortened because of the weather.,Nothing to report,A major check was run  and each crew member was assigned a functioning radio.,The oven door doesn t fully close  so we closed it with tape to cook biscuits. A leak on the lower floor was found after the rain at noon  close to the Engineering Airlock door  right above the propane line .,Nothing to report,Nothing to report,Nothing to report,It was depressurized to allow the,Nothing to report,Nothing to report
Crew 212  06 MAY 2019,SOL  1,Paolo Guardabasso,Lights in the EVA preparation room and crew room  pump in the loft  see previous emails .,The light bulb in the EVA preparation room died and we replaced it with the one on the shelf in the lower floor of HAB. The new one died a few hours later. Yesterday we had a dead light bulb in one of the rooms. This might be due to faulty light bulbs  but it might also be related to surges in the power distribution system.,,69at 7 30PM,99%,46%,4,,1432820,440,Water  loft       yes,180,,no,,,,,,ASSIGNED TO DIRECTOR,,,,,No,92.6h,,,No,Yes,58.7h,100%,100%,Yes,Yes,94.1h,100%,99%,Yes,no  out of order,,,,,Rovers Opportunity and Curiosity were used to perform two EVAs  morning and afternoon   and they were charged in the middle. Final values this morning were  Opportunity  58.5h  99%  and Curiosity  93.8h  98% .,,Used last night to collect a load of water in Hanksville,Off campus,Nothing to report,Connection unstable during CapCom at 08 00 PM,The issues present mechanical issues  fans tend to get stuck in some models   electrical issues  one battery is apparently not charging   and some of the headsets had to be cleaned. More details in the spacesuit report.,Nothing to report,Watering twice the plants,The small oven was used to sterilize the headsets covers.,From Director  The robotic observatory was open this morning. Peter was contacted and he closed it. Skynet had shut down unexpectedly.,The experiment rover was reassembled,Nothing to report,The water heater is plugged and the propane valve is open  the number in the display is 075  but we still have not hot water. How should we proceed
Crew 212  05 MAY 2019,SOL  0,Paolo Guardabasso,Loft pump,The loft pump in the Hab is leaking,,85at 7 10 PM,99%,49%,4,,1432449,370,Water  loft       yes,190,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,Yes,92.6h,100%,83%,Yes,Yes,58.5h,99%,88%,No,Yes,93.8h,100%,90,Yes,no  out of order,,,,,Opportunity s battery overheat alarm was on and the,,A trip to Hanksville was done to collect,Nothing to report,Today we had the pre mission briefing with,Nothing to report,Tested and ready for EVA,A major cleaning of the Hab was done today,We calculated the correct total volume,Nothing to report,Nothing to report,Nothing to report,Nothing to report,The loft pump
Crew 212  07 MAY 2019,SOL  2,Paolo Guardabasso,Pump in loft,The pump is leaking  see previous reports  and today it started turning on automatically every 7 seconds. The Director informed me that this is because the pump tries to compensate the losses due to the leaking.,,74at 6 30 PM,97%,46%,4,,143310,320,Water  loft       yes,170,,No,,,,,,ASSIGNED TO DIRECTOR,,,,,No,92.6h,,,Yes,No,58.7h,,,No,No,94.1h,,,Yes,no  out of order,,,,,Performed an Engineering EVA this morning to unplug Opportunity and plug Spirit in preparation for the afternoon EVA  that got cancelled because of the weather .,,Nothing to report,Off Campus,an EVA was cancelled because of the weather.,Download of astronomy images required a high amount of data.,4 radios don t work and suit 1 and 6 have only one functioning fan.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Repair and assembling of drones for tomorrow s EVA.,Nothing to report,Nothing to report
Crew 212  04 MAY 2019,SOL  1,Paolo Guardabasso,nothing to report,nothing to report,,64at 18 40,100 %,49 %,4,,17 gallons,200,Water  loft       yes,100%,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,No,,,,,No,,,,,No,,,,,no  out of order,,,,,nothing to report,,nothing to report,nothing to report,Crew changeover,nothing to report,we adjusted an EVA suit to each crew member,Crew 211 welcomed us and we had training sessions,water tank was refilled,nothing to report,nothing to report,experiments were moved in the RAM,nothing to report,nothing to report
Crew 211  02 MAY 2019,SOL  11,Julien Amalaberque,The pump from the loft,Loft pump  Still some weird noises but it holds. The leak is still present  nothing changed with that.,,79 at 19 30 pm,100 %,49 %,4,,15 gallons,190,Water  loft       yes,65,,no,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,92.1h,100,66,yes,no,58h,,,no,yes,93.3h,100,71,yes,no  out of order,,,,,Nothing to report,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Some chards and carrots were harvested,Nothing to report,Nothing to report,Nothing to report,As we started the food inventory  we noted that a large majority of the food is expired.,
Crew 211  01 MAY 2019,SOL  10,Julien Amalaberque,The pump from the loft,The noise from the pump is beginning to slowly fade away instead of its original instant cutoff when we stop using water.,,72 at 20 00 pm,24 %,49 %,4,,15 gallons,220,Water  loft       yes,70,,yes,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,91.6h,100,60,yes,yes,58h,100,97,no,yes,93h,100,70,yes,no  out of order,,,,,Nothing to report,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crew 211  29 APR 2019,SOL  8,Julien Amalaberque,nothing to report,nothing to report,,71 at 14 30 pm,25 %,49 %,4,,15 gallons,290,Water  loft       yes,80,,yes,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,90.2h,100,55,yes,no  out of order,,,,,yes,92.2h,100,72,yes,no  out of order,,,,,Nothing to report,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Some basil and parseleaf was harvested,Nothing to report,Nothing to report,Nothing to report,Nothing to report,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crew 211  27 APR 2019,SOL  6,Julien Amalaberque,nothing to report,nothing to report,,53 at 19 11 pm,25 %,49 %,4,,15 gallons,150,Water  loft       yes,90,,no,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,89.8h,100,44,yes,no  out of order,,,,,yes,91.7h,100,47,yes,no  out of order,,,,,i.    Using an extension cable  rovers can now again be charged directly at the MDRS  not at the RAM but near the Hab .,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,
Crew 211  24 APR 2019,SOL  3,Julien Amalaberque,nothing to report,nothing to report,,100 at 20 10 pm,25 %,49 %,4,,6,240,Water  loft       yes,105,,yes,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,89.0h,100,84.4,yes,yes,57.6,95,74,no,yes,90.8h,100,90,yes,no  rover is out of order according to Director,,,,,Yesterday during the EVA the rover Opportunity suffered overheating and could not be started back. This morning s mission was to bring it back so that the mechanics could fix it.,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Some basil and tomatoes were harvested for cooking.,Nothing to report,The Astronomer s computer encounters sometimes freeze and displays artifacts on the screen. This might be the beginning of a GPU failure.,Simon finished his UWB stands and Carl continued assembling more probes during the afternoon after children finished visiting us.,The member with the twisted ankle feels better and can walk  but for extra safety HSO does not recommend EVA.,
Crew 211  24 APR 2019,SOL  3,Julien Amalaberque,nothing to report,nothing to report,,100 at 20 10 pm,25 %,49 %,4,,6,240,Water  loft       yes,110,,yes,,,,,,ASSIGNED TO DIRECTOR  no,,,,,yes,89.0h,100,84.4,yes,yes,57.6,95,74,no,yes,90.8h,100,90,yes,no  rover is out of order according to Director,,,,,Yesterday during the EVA the rover Opportunity suffered overheating and could not be started back. This morning s mission was to bring it back so that the mechanics could fix it.,0,No,No,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Some basil and tomatoes were harvested for cooking.,Nothing to report,The Astronomer s computer encounters sometimes freeze and displays artifacts on the screen. This might be the beginning of a GPU failure.,Simon finished his UWB stands and Carl continued assembling more probes during the afternoon after children finished visiting us.,The member with the twisted ankle feels better and can walk  but for extra safety HSO does not recommend EVA.,
rew 211  22 APR 2019,SOL  1,Julien Amalaberque,nothing to report,nothing to report,,88 at 6 45 pm,25 %,49 %,4,The pump that flows from the  to the taps seems to be leaking. The cardboard on the ceiling of the rightmost room is getting wet.,6,420,Water  loft       yes,115,,yes,,,,,,ASSIGNED TO DIRECTOR,,,,,yes,88.8h,100,50,yes,no,,,,,yes,89.8h,100,83,yes,no  rover is out of order according to Director,,,,,Nothing to report,0,No,No,Nothing to report,Nothing to report,We cleaned all helmets and boiled earphones. A new plastic box was cleaned too and now contains all suit related supplies.,Floor of the toilets and the whole lower deck were cleaned  and the mess that was lying on the desk was sorted.,Nothing to report,Nothing to report,Nothing to report,Two operations were done  building stands with wood and the handsaw for the UWB anchors by Simon  and Carl assembled its probes with clamps.,Someone slightly twisted a bit his ankle while climbing down a ladder on the upper deck. Not really a problem.,
Crew 211  20 APR 2019,SOL,Julien Amalaberque,nothing to report,nothing to report,,79 at 7 pm,25 %,49 %,4 .,,9,475,Water  loft       yes,125,,no,,,,,,ASSIGNED TO DIRECTOR  yes,51.1h,100,100,yes,no,87.6h,100,100,yes,no,56.8h,100,100,yes,no,89.1h,100,100,yes,No,,,,,Nothing to report,0,No,Yes  the trip from Grand Junction to MDRS,Nothing to report,Nothing to report,Nothing to report,Nothing to report,No operation  Chloe will send the first GreenHab report today,Nothing to report,Nothing to report,Nothing to report,Nothing to report,None  thank you.
